"name","area","delivery_ratings","total_reviews"
"Bombay Kulfis","CV Raman Nagar, Bangalore","4.6",154
"Apsara Ice Creams","Bellandur, Bangalore","4.6",407
"ibaco","Brigade Road, Bangalore","4.6",357
"Aubree","Shivajinagar, Bangalore","4.5",203
"Bengaluru Donne Biriyani Katte","Majestic, Bangalore","4.5",262
"Krispy Kreme","Forum Shantiniketan Mall, Whitefield, Bangalore","4.5",410
"Davanagere Butter Dosa Hotel","Rajajinagar, Bangalore","4.5",468
"Kartik's Mithai Shoppe","Indiranagar, Bangalore","4.5",325
"Kanti Sweets","MG Road, Bangalore","4.5",190
"ibaco","JP Nagar, Bangalore","4.5",374
"Sri Venkateshwara Sweetmeat Stall","Malleshwaram, Bangalore","4.5",338
"Baskin Robbins","HSR, Bangalore","4.5",465
"Sri Venkateshwara Sweet Meat Stall","Basavanagudi, Bangalore","4.5",316
"Ice Fort","Vijay Nagar, Bangalore","4.5",288
"Cafe Coffee Day","Jayanagar, Bangalore","4.4",348
"Sangam Sweets","Majestic, Bangalore","4.4",419
"Natural Mumbai Kulfi","Rammurthy Nagar, Bangalore","4.4",202
"Chaitanya Veg","Shivajinagar, Bangalore","4.4",202
"Baskin Robbins","Frazer Town, Bangalore","4.4",314
"Al Noor","Shivajinagar, Bangalore","4.4",366
"Anand Sweets And Savouries","Marathahalli, Bangalore","4.4",228
"Asha Sweet Center","Basavanagudi, Bangalore","4.4",446
"Bun World","Malleshwaram, Bangalore","4.4",377
"Havmor Ice Cream","Seshadripuram, Bangalore","4.4",325
"Hotel Panchami Grand","New BEL Road, Bangalore","4.4",280
"Giani Icecream ","Koramangala 5th Block, Bangalore","4.4",239
"The Old Madras Baking Company","New BEL Road, Bangalore","4.4",253
"The Thickshake factory","Brookefield, Bangalore","4.4",430
"Northwind","Seshadripuram, Bangalore","4.4",448
"Friendly Neighbourhood Pizza-Man","JP Nagar, Bangalore","4.4",339
"Indian Chicken Biriyani","Vijay Nagar, Bangalore","4.4",390
"Ooty Chocolates","Indiranagar, Bangalore","4.4",363
"Aahar Cafe","Kaggadasapura, Bangalore","4.4",368
"Pabrai's Fresh & Naturelle Icecreams","Brigade Road, Bangalore","4.4",301
"The ThickShake Factory","Sarjapur Road, Bangalore","4.4",265
"Sicilia Point","Rajajinagar, Bangalore","4.3",142
"Biriyani Treat","Basaveshwara Nagar, Bangalore","4.3",397
"MyFroyoland","Indiranagar, Bangalore","4.3",112
"Jigarthanda","Malleshwaram, Bangalore","4.3",174
"Krispy Kreme","Koramangala 6th Block, Bangalore","4.3",333
"Starbucks Coffee","Koramangala 4th Block, Bangalore","4.3",354
"Salad Matters","Koramangala 4th Block, Bangalore","4.3",114
"Baskin Robbins","Kalyan Nagar, Bangalore","4.3",193
"Barista","Nagawara, Bangalore","4.3",182
"The Curry- Taste Of Madurai","Hennur, Bangalore","4.3",120
"Anand Sweets and Savouries","Bommasandra, Bangalore","4.3",436
"Five Star Chicken","Bannerghatta Road, Bangalore","4.3",126
"Sreeraj Lassi Bar","Wilson Garden, Bangalore","4.3",181
"Third Wave Coffee","Sanjay Nagar, Bangalore","4.3",256
"Cafe Crispy Day","Jalahalli, Bangalore","4.3",237
"Sri Mast Chats","New BEL Road, Bangalore","4.3",266
"Churn","New BEL Road, Bangalore","4.3",319
"Taran Sagar","Rajajinagar, Bangalore","4.3",133
"Trupthi Thindi","Sahakara Nagar, Bangalore","4.3",286
"Fabelle Chocolates - ITC Gardenia","ITC Gardenia, Bangalore","4.3",392
"Amulya Veg Restaurant","Majestic, Bangalore","4.3",187
"Bombay Kulfis","Jeevan Bhima Nagar, Bangalore","4.3",125
"Crusty's Pizza","Indiranagar, Bangalore","4.3",93
"California Burrito","Basavanagudi, Bangalore","4.3",92
"Apsara Ice Creams","Banashankari, Bangalore","4.3",366
"Karavali Grand","Vijay Nagar, Bangalore","4.3",481
"Madhappa Hindu Military Hotel","Banashankari, Bangalore","4.3",436
"Hotel Naveena Mane Beegara Oota","Banashankari, Bangalore","4.3",135
"SLV Refreshments","Kumaraswamy Layout, Bangalore","4.3",341
"Yelaneeraa Thota","Banashankari, Bangalore","4.3",80
"ibaco","Basavanagudi, Bangalore","4.3",292
"Ruchikar Family Restaurant","Vijay Nagar, Bangalore","4.3",248
"Cake Yard","Basavanagudi, Bangalore","4.3",113
"Kentaky Fast Food","Basaveshwara Nagar, Bangalore","4.3",373
"Five Star Chicken","Kammanahalli, Bangalore","4.3",81
"Five Star Chicken","Frazer Town, Bangalore","4.3",184
"ibaco","Frazer Town, Bangalore","4.3",331
"Third Wave Coffee","Cunningham Road, Bangalore","4.3",203
"M.R.S Hotel","Ulsoor, Bangalore","4.3",88
"Aubree","MG Road, Bangalore","4.3",398
"Lassi & Snacks Joint","Domlur, Bangalore","4.3",154
"KC Das - Sweet Bite","Frazer Town, Bangalore","4.3",376
"Blue Tokai Coffee Roasters","Indiranagar, Bangalore","4.3",455
"Sri Lakshmivenkateshwara Military Hotel","Rajarajeshwari Nagar, Bangalore","4.3",170
"Friendly Neighbourhood Pizza-Man","Bellandur, Bangalore","4.3",95
"Andhra Tea Point","Marathahalli, Bangalore","4.3",141
"Eggstacy On Wheels","Brookefield, Bangalore","4.3",63
"Sri Venkateshwara Sweet Meat Stall","Jayanagar, Bangalore","4.3",346
"Eat N Drink","BTM, Bangalore","4.3",468
"Sri Venkateshwara Sweet Meat Stall","JP Nagar, Bangalore","4.3",334
"Paris Panini - French Street Food","RMZ Ecoworld, Bellandur, Bangalore","4.3",372
"Satkriti Saatvik","Jayanagar, Bangalore","4.3",168
"Shetty Lunch Home","Jayanagar, Bangalore","4.3",439
"Davanagere Benne Dose Ruchi","HSR, Bangalore","4.3",223
"Chicken Express","Bommanahalli, Bangalore","4.3",133
"Juice Junction","Jayanagar, Bangalore","4.3",161
"Shyamji's Chole Bhature","JP Nagar, Bangalore","4.3",357
"Lavonne","St. Marks Road, Bangalore","4.3",282
"Sri Nandi Chinese Kitchen","Basavanagudi, Bangalore","4.3",91
"Candice's Gourmet Sandwiches","Koramangala 5th Block, Bangalore","4.3",367
"New Imperial Restaurant","Banashankari, Bangalore","4.3",253
"Dessert Crunch","Kanakapura Road, Bangalore","4.3",104
"Ambur Star Dum Biryani","Wilson Garden, Bangalore","4.3",150
"Divina - Eden Park Restaurants","Eden Park Restaurants, Bangalore","4.3",203
"Goli Vada Pav No. 1","Sarjapur Road, Bangalore","4.3",181
"Stop N Joy","Vijay Nagar, Bangalore","4.3",204
"Third Wave Coffee","Lavelle Road, Bangalore","4.3",284
"Ibaco","Mantri Square, Malleshwaram, Bangalore","4.3",188
"Blue Tokai Coffee Roasters","Infantry Road, Bangalore","4.3",154
"Basaveshwar Khanavali","Majestic, Bangalore","4.3",443
"Planet Coffee","RT Nagar, Bangalore","4.3",130
"Hotel Srinivasa Family Restaurant","Peenya, Bangalore","4.3",142
"Uttara Karnataka Foods","Malleshwaram, Bangalore","4.3",183
"Hasanambe Benne Dose","Rajajinagar, Bangalore","4.3",75
"Big Boss Combo","Jalahalli, Bangalore","4.3",237
