"name","area","total_reviews","r"
"Fruitify","1 MG Road Mall, MG Road, Bangalore",113,"1"
"SLV Corner Restaurant","153 Biere Street, Bangalore",10568,"1"
"Thai House","5th Avenue, Brigade Road, Bangalore",795,"1"
"Coastal Spice","Abhimaani Vasathi, Bangalore",122,"1"
"Nandhini Deluxe","Aloft Bengaluru Cessna Business Park, Kadubeesanahalli, Bangalore",7404,"1"
"McDonald's","Ascendas Park Square, Whitefield, Bangalore",7515,"1"
"Ayodhya Upachar","Banashankari, Bangalore",72238,"1"
"M.M.A Kabab and Rolls","Banaswadi, Bangalore",16254,"1"
"McDonald's","Bangalore Central, Bellandur, Bangalore",8379,"1"
"Rajdhani","Bangalore Central, JP Nagar, Bangalore",5756,"1"
"Kundana","Bannerghatta Road, Bangalore",35266,"1"
"Kabab Magic","Basavanagudi, Bangalore",42899,"1"
"Priyadarshini Grand","Basaveshwara Nagar, Bangalore",23526,"1"
"Phulke Ghar Ke","Bellandur, Bangalore",35842,"1"
"Sultans Of Spice","BluPetal Hotel, Koramangala, Bangalore",5549,"1"
"Krishna Kuteera","Bommanahalli, Bangalore",19733,"1"
"Pizza Republic","Bommasandra, Bangalore",6208,"1"
"Plan B","Brigade Road, Bangalore",4739,"1"
"Imperio Restaurant","Brookefield, Bangalore",84124,"1"
"Taco Bell","Brookefields Mall, Brookefield, Bangalore",14219,"1"
"Biryani Pot","BTM, Bangalore",55789,"1"
"Chef Baker's","By The Way, Electronic City, Bangalore",511,"1"
"Havelli - Chairman's Resort","Chairman's Resort, Bangalore",273,"1"
"Church Street Social","Church Street, Bangalore",8822,"1"
"SGS Non Veg - Gundu Pulav","City Market, Bangalore",2807,"1"
"Coastal King Restaurant","Coastal King, Bangalore, Bangalore",1700,"1"
"Pavilion Restaurant","Comfort Inn Insys, Yeshwantpur, Bangalore",167,"1"
"Burger King","Commercial Street, Bangalore",9776,"1"
"Kudla - Coraltree","Coraltree, RT Nagar, Bangalore",912,"1"
"Pasta Street","Cunningham Road, Bangalore",4518,"1"
"Delicacy","CV Raman Nagar, Bangalore",9032,"1"
"Sri Udupi Food Hub","Domlur, Bangalore",16351,"1"
"Divina - Eden Park Restaurants","Eden Park Restaurants, Bangalore",203,"1"
"Momo Rice Noodles","Ejipura, Bangalore",3293,"1"
"Delhi Base Sri Food Court","Electronic City, Bangalore",33055,"1"
"One For The Road","Elements Mall, Nagawara, Bangalore",3031,"1"
"Dose Mane","Fairfield by Marriott,Rajajinagar , Bangalore",107,"1"
"KFC","Forum Mall, Koramangala, Bangalore",9607,"1"
"Chai Central","Forum Neighbourhood Mall, Whitefield, Bangalore",2108,"1"
"Chai Point","Forum Shantiniketan Mall, Whitefield, Bangalore",2633,"1"
"The Eatery - Four Points by Sheraton Bengaluru","Four Points by Sheraton Bengaluru Whitefield, Bangalore",551,"1"
"Karama Restaurant","Frazer Town, Bangalore",18594,"1"
"KFC","Garuda Mall, Magrath Road, Bangalore",3658,"1"
"Sanadige - Goldfinch Hotel","Goldfinch Hotel, Seshadripuram, Bangalore",939,"1"
"Taco Bell","Gopalan Innovation Mall, Bannerghatta, Bangalore",13166,"1"
"New Krishna Sagar","HBR Layout, Bangalore",13947,"1"
"Hyderabadi Bawarchi","Hebbal, Bangalore",13495,"1"
"Aattutheeram Kerala Restaurant","Hennur, Bangalore",24131,"1"
"Sammaan Restaurant","Hesaraghatta, Bangalore",15454,"1"
"Meghana Foods","Hosur Road, Bangalore",14805,"1"
"Great Moments - Hotel Bangalore International","Hotel Bangalore International, Bangalore",20,"1"
"Samrat Restaurant","Hotel Chalukya, Race Course Road, Bangalore",1407,"1"
"Kudla - Hotel Ramanashree","Hotel Ramanashree, Bangalore",562,"1"
"The Rice Bowl","Hotel Southern Star, Lavelle Road, Bangalore",1122,"1"
"Al Daaz","HSR, Bangalore",65023,"1"
"Empire Restaurant","Indiranagar, Bangalore",81800,"1"
"Burnout Cafe","Infantry Road, Bangalore",332,"1"
"Beijing Bites","Inorbit Mall, Whitefield, Bangalore",5511,"1"
"Fabelle Chocolates - ITC Gardenia","ITC Gardenia, Bangalore",392,"1"
"Pepe's Pizza","ITPL Main Road, Whitefield, Bangalore",2242,"1"
"Mast Punjabi","Jakkur, Bangalore",6001,"1"
"Samskruthi Grand","Jalahalli, Bangalore",25499,"1"
"Meghana Foods","Jayanagar, Bangalore",62895,"1"
"Leon Grill","Jeevan Bhima Nagar, Bangalore",28963,"1"
"Shanmukha","JP Nagar, Bangalore",54968,"1"
"Best Of Bengal","Kadubeesanahalli, Bangalore",5063,"1"
"Punjab Junction","Kaggadasapura, Bangalore",16917,"1"
"Imperio Restaurant","Kalyan Nagar, Bangalore",74113,"1"
"Burger King","Kammanahalli, Bangalore",24562,"1"
"Kabab Mehal","Kanakapura Road, Bangalore",12645,"1"
"Hyderabad Chefs","KBR Mall, Marathahalli, Bangalore",8001,"1"
"McDonald's","Kemp Fort Mall, Old Airport Road, Bangalore",6788,"1"
"Ambur Biryani Point","Koramangala 1st Block, Bangalore",17518,"1"
"Sri Aakash Punjabi Dhaba","Koramangala 2nd Block, Bangalore",399,"1"
"Sangam Sweets","Koramangala 3rd Block, Bangalore",1142,"1"
"La Pino'z Pizza","Koramangala 4th Block, Bangalore",21622,"1"
"Empire Restaurant","Koramangala 5th Block, Bangalore",79917,"1"
"Midnight Mania","Koramangala 6th Block, Bangalore",15247,"1"
"Falahaar & Kota Kachori","Koramangala 7th Block, Bangalore",80930,"1"
"Sagar Fast Food","Koramangala 8th Block, Bangalore",8861,"1"
"Ashraya Upachar","KR Puram, Bangalore",23523,"1"
"Roti Curry","Krishna Kuteer, HSR, Bangalore",1696,"1"
"Recipe","Kumaraswamy Layout, Bangalore",39934,"1"
"Via Milano","La Marvella Hotel, Bangalore",197,"1"
"Rolls Kitchen","Langford Town, Bangalore",2433,"1"
"Glen's Bakehouse","Lavelle Road, Bangalore",6126,"1"
"Swathi","Magadi Road, Bangalore",1015,"1"
"Adiga's","Majestic, Bangalore",3392,"1"
"Al-Bek","Malleshwaram, Bangalore",33618,"1"
"Burger King","Mantri Square, Malleshwaram, Bangalore",8759,"1"
"Meghana Foods","Marathahalli, Bangalore",59561,"1"
"McDonald's","MG Road, Bangalore",5377,"1"
"Imperial Restaurant","Mysore Road, Bangalore",9646,"1"
"Donne Biryani Hatti Mane","Nagarbhavi, Bangalore",9256,"1"
"Andhra Biryanis","Nagawara, Bangalore",17652,"1"
"Delhi Mess","New BEL Road, Bangalore",24220,"1"
"Hyderabad Biryaani House","Old Airport Road, Bangalore",26516,"1"
"Zaatar","Old Madras Road, Bangalore",11077,"1"
"California Burrito","Orion East, Banaswadi, Bangalore",1574,"1"
"Chili's American Grill & Bar","Orion Mall, Malleshwaram, Bangalore",9259,"1"
"Mayura Restaurant","Peenya, Bangalore",3184,"1"
"Nando's","Phoenix Marketcity Bangalore, Whitefield, Bangalore",5419,"1"
"Brik Oven","Prestige Trade Tower, Race Course Road, Bangalore",1116,"1"
"Richie Rich","Race Course Road, Bangalore",3645,"1"
"Flavours Radha Hometel","Radha Hometel, Bangalore",319,"1"
"Burger King","Rajajinagar, Bangalore",22623,"1"
"Onesta","Rajarajeshwari Nagar, Bangalore",13724,"1"
"New Krishna Sagar","Rammurthy Nagar, Bangalore",10564,"1"
"Meghana Foods","Residency Road, Bangalore",21502,"1"
"Hyderabad Biryaani House","Richmond Road, Bangalore",4871,"1"
"Hotel Fanoos","Richmond Town, Bangalore",3833,"1"
"The Pizza Bakery - All Day Eatery","RMZ Ecoworld, Bellandur, Bangalore",2197,"1"
"Chai Point","Royal Meenakshi Mall, Bannerghatta Road, Bangalore",7004,"1"
"Burgundy - Royal Orchid Suites","Royal Orchid Suites, Whitefield, Bangalore",186,"1"
"Tandoori Ghar","RT Nagar, Bangalore",11100,"1"
"Sattvam","Sadashiv Nagar, Bangalore",3350,"1"
"Kritunga Restaurant","Sahakara Nagar, Bangalore",12853,"1"
"Atithi Satkar","Sanjay Nagar, Bangalore",3066,"1"
"Nandhini Deluxe","Sankey Road, Bangalore",8970,"1"
"Byg Brewski Brewing Company","Sarjapur Road, Bangalore",41500,"1"
"Corner House Ice Creams","Seshadripuram, Bangalore",12530,"1"
"Domino's Pizza","Shanti Nagar, Bangalore",7927,"1"
"Royal Restaurant","Shivajinagar, Bangalore",19420,"1"
"California Burrito","Sigma Mall, Cunningham Road, Bangalore",3166,"1"
"Tibb's Frankie","Skywalk, Ulsoor, Bangalore",53,"1"
"Leon Grill","St. Marks Road, Bangalore",16857,"1"
"Ac’lyrics","Svenska Design Hotel, Electronic City, Bangalore",1137,"1"
"Tamarind - Tamarind Hospitality","Tamarind Hospitality, Bangalore",6447,"1"
"The Deli - The Den Bengaluru","The Den, Whitefield, Bangalore",330,"1"
"Tingling Spice -  The Fern Residency","The Fern Residency, Bangalore",138,"1"
"Andhra Ruchulu","The President Hotel, Jayanagar, Bangalore",3965,"1"
"Motis Kitchen","Thippasandra, Bangalore",25697,"1"
"KFC","Total Mall, Sarjapur Road, Bangalore",9338,"1"
"Toscano","UB City, Bangalore",2755,"1"
"Shanthi Sagar","Ulsoor, Bangalore",19307,"1"
"New Biryani Mane","Uttarahalli, Bangalore",6351,"1"
"A2B - Adyar Ananda Bhavan","Varthur Main Road, Whitefield, Bangalore",25640,"1"
"Imperial Restaurant","Vasanth Nagar, Bangalore",2832,"1"
"Burger King","Vega City, Bannerghatta Road, Bangalore",14761,"1"
"Gowdru Hotel","Vijay Nagar, Bangalore",34885,"1"
"Barbeque Nation","Virginia Mall, Whitefield, Bangalore",908,"1"
"Salt - Indian Restaurant Bar & Grill","VR Bengaluru, Whitefield, Bangalore",3316,"1"
"Mani's Dum Biryani","Whitefield, Bangalore",19924,"1"
"Sahana's Nati Style","Wilson Garden, Bangalore",6390,"1"
"Oota Bangalore","Windmills Craftworks, Bangalore",1230,"1"
"DUNKIN'","Yelahanka, Bangalore",5771,"1"
"New Agarwal Bhavan","Yeshwantpur, Bangalore",16666,"1"
